,Range,Latitude,Longitude
1,1.2602604038989054,30.44520833000001,78.19288000000005
2,1.2406604038989053,30.445522629999996,78.18833863380007
3,1.3989604038989052,30.44744959759998,78.16046943620006
4,1.2777604038989052,30.447440202399992,78.16064350000002
18,1.2269604038989053,30.44821640079998,78.16020843539997
27,1.2054604038989052,30.448761469999962,78.16020566860006
32,1.2386604038989053,30.448911669999987,78.16000233280003
33,1.2367604038989053,30.448910701400017,78.15997189859999
34,1.2542604038989054,30.44891000000001,78.15994450000004
35,1.2484604038989053,30.448908068600023,78.15991856860002
36,1.1761604038989053,30.44890087000001,78.15988637000004
37,1.2386604038989053,30.448885069999964,78.1598446014001
38,1.2269604038989053,30.448864101400027,78.1597950314
39,1.1566604038989052,30.448843298200007,78.15974363000001
48,1.1703604038989053,30.448829434599965,78.15929486459993
60,1.1878604038989053,30.44871382999997,78.15866146539999
61,1.1859604038989053,30.44874400079998,78.15861710000009
62,1.1976604038989052,30.448779399199967,78.15857416460011
64,1.1839604038989053,30.448869267199974,78.1585265672
66,1.1566604038989052,30.448985768599965,78.15850919999997
67,1.2230604038989052,30.44904937000001,78.15849339999998
70,1.1800604038989053,30.449249034599966,78.15840807
75,1.1859604038989053,30.449544968599984,78.15836879859994
76,1.1722604038989053,30.449597670000013,78.15839446460004
101,1.2348604038989053,30.450539700000032,78.15747253000009
102,1.1566604038989052,30.45060264705879,78.15746019274502
103,1.1566604038989052,30.45066340000001,78.15746046759999
143,1.1722604038989053,30.451338400000033,78.15590106720006
245,1.1566604038989052,30.451289999999975,78.1559349999999
246,1.1566604038989052,30.451289999999975,78.1559349999999
247,1.1566604038989052,30.45127104764706,78.1559463725491
248,1.1878604038989053,30.451244270000014,78.15596326460008
249,1.2445604038989053,30.45122219919999,78.15598176540009
250,1.1741604038989053,30.45119886539999,78.15600136460004
251,1.2328604038989053,30.45117646860001,78.15601896719994
255,1.2034604038989052,30.45108283000003,78.15608199919996
256,1.2621604038989052,30.451056800800025,78.15609970080007
257,1.2796604038989052,30.451028301400026,78.15611923279992
258,1.3208604038989054,30.4509937314,78.15613993000008
262,1.1917604038989054,30.450837264600025,78.15623860000001
263,1.3403604038989052,30.45080496719997,78.15626643140004
264,1.2093604038989052,30.450772332800025,78.15629089860006
281,1.1585604038989052,30.450256369999984,78.15603506999994
290,1.2093604038989052,30.44987529860001,78.15611223139989
299,1.2445604038989053,30.449422670000022,78.15642026719993
300,1.2796604038989052,30.449372669999967,78.15641490140004
301,1.1566604038989052,30.449324219019616,78.15639261254896
317,1.1566604038989052,30.44975883139996,78.1557109300001
319,1.2074604038989052,30.44988340140002,78.15565092999995
320,1.1566604038989052,30.449949631400013,78.15561996720001
321,1.2425604038989053,30.45001796719997,78.15558636999998
323,1.1566604038989052,30.45015463140001,78.15550916720008
331,1.2367604038989053,30.450526530000026,78.15511593440006
332,1.2856604038989052,30.450543229999962,78.15506476559989
333,1.3618604038989053,30.45054833,78.15504833
338,1.2015604038989052,30.450558097441853,78.15499949279072
339,1.2015604038989052,30.450558329999986,78.15499833000003
342,1.1839604038989053,30.450738329999986,78.15454833000004
343,1.2816604038989052,30.45076623180003,78.15446913359997
344,1.2230604038989052,30.45081250180001,78.15436476640004
345,1.2700604038989052,30.450853133600003,78.15430496640006
348,1.2348604038989053,30.45096058806453,78.15414102483871
349,1.2348604038989053,30.450963329999993,78.15413667
